Game Development,Bamigos,Delhi,"₹ 7,000-11,000 /month"
Salesforce Developer,BlueTide Solutions Private Limited,Gurgaon,"₹ 20,000 /month"
Full Stack Development,Aadi Foundation,Work from home,"₹ 10,000 /month"
Full Stack Development,Upflairs,"Alwar, Jaipur","₹ 8,000-10,000 /month"
AWS Cloud Management,Suntrion Technosol Pvt Ltd,Chennai,"₹ 15,000 /month"
Market Analyst - BBA Freshers,STARINCO,Kolkata,"₹ 7,000-12,000 /month"
Flutter Development,VerTune,Work from home,"₹ 10,000-30,000 /month"
PHP Development,247 Around,Noida,"₹ 15,000 /month"
job_role,company_name,location,stipend
Laravel Development - WFH/Remote,QUARTERSTACK TECHNOLOGIES PRIVATE LIMITED,Work from home,"₹ 10,000 /month"
Reactjs Development,QUARTERSTACK TECHNOLOGIES PRIVATE LIMITED,Work from home,"₹ 10,000 /month"
Full Stack Development,Brela Innovations Private Limited,Kanpur,"₹ 10,000 /month"
Full Stack Development,Mithya Labs Private Limited,Dharamshala,"₹ 15,000 /month"
Artificial Intelligence (AI),Codezero2pi Solution (OPC) Private Limited,Work from home,"₹ 7,000-15,000 /month"
Machine Learning,Recsify Technologies,Hyderabad,"₹ 10,000-30,000 /month"
iOS App Development,LiveIntuitions Technologies,Bangalore,"₹ 15,000 /month"
Backend Development,S7works,Work from home,"₹ 12,000 /month"
Front End Development,Karkhana.io,"Mumbai, Bangalore","₹ 10,000-15,000 /month"
ERP Functional Consultant,Force-Intellect Private Limited,Bhilai,"₹ 12,000 /month"
Full Stack Development,Camp Yellow,Work from home,"₹ 40,000 /month"
Front End Development,Kaushal Sharma,Work from home,"₹ 12,000 /month"
Pricing,Tripjack,Mumbai,"₹ 12,000 /month"
Python Development,Bright Sight,Work from home,"₹ 10,000-20,000 /month"
Front End Development,Lunacal,Work from home,"₹ 30,000 /month"
Photoshop Editor,Reark Digital Preservation Private Limited,Mumbai,"₹ 10,000 /month"
Flutter Development,Bright Sight,Work from home,"₹ 10,000 /month"
Front End Development,Thejanki.com,Jaipur,"₹ 7,000-12,000 /month"
Software Development,Bosscoder Academy,Noida,"₹ 21,000 /month"
AI Research,K4 Media & Technologies,Work from home,"₹ 10,000 /month"
Backend Assistant,Flying Frog World,Mumbai,"₹ 8,000-12,000 /month"
Artificial Intelligence (AI),Computer Hub,Work from home,"₹ 10,000 /month"
Reactjs Development,Techvastra,Work from home,"₹ 8,000-10,000 /month"
